Sequence,Cluster,Dimension,Turn,Value,nBeforeCluster,nAllSegments,Support,Confidence,Lift,Conviction
HeadShakeLY-GestObjectManipulation-null,3,Dom,Lstn,-0.34608333333333335,2,4,0.011834319526627219,0.5,3.6739130434782608,1.727810650887574
SmileN-BodyLeanH-null,3,Dom,Lstn,-0.34608333333333335,2,2,0.011834319526627219,1.0,7.3478260869565215,Infinity
GestObjectManipulation-BodyLeanH-null,3,Dom,Lstn,-0.34608333333333335,2,3,0.011834319526627219,0.6666666666666666,4.898550724637681,2.5917159763313604
RestArmsCrossed-EyebrowUpN-null,3,Dom,Lstn,-0.34608333333333335,2,4,0.011834319526627219,0.5,3.6739130434782608,1.727810650887574
RestArmsCrossed-EyebrowUpL-null,3,Dom,Lstn,-0.34608333333333335,2,3,0.011834319526627219,0.6666666666666666,4.898550724637681,2.5917159763313604
SmileL-SmileN-null,3,Dom,Lstn,-0.34608333333333335,2,3,0.011834319526627219,0.6666666666666666,4.898550724637681,2.5917159763313604
SmileN-GestObjectManipulation-null,3,Dom,Lstn,-0.34608333333333335,3,7,0.01775147928994083,0.42857142857142855,3.1490683229813663,1.5118343195266273
SmileN-GestAdaptorArms-null,3,Dom,Lstn,-0.34608333333333335,2,5,0.011834319526627219,0.4,2.939130434782609,1.4398422090729783
GestAdaptorArms-SmileN-null,3,Dom,Lstn,-0.34608333333333335,2,5,0.011834319526627219,0.4,2.939130434782609,1.4398422090729783
RestHandsTogether-SmileN-null,3,Dom,Lstn,-0.34608333333333335,2,6,0.011834319526627219,0.3333333333333333,2.4492753623188404,1.2958579881656802
SmileN-RestUnder-null,3,Dom,Lstn,-0.34608333333333335,2,6,0.011834319526627219,0.3333333333333333,2.4492753623188404,1.2958579881656802
GestAdaptorArms-RestUnder-null,3,Dom,Lstn,-0.34608333333333335,2,4,0.011834319526627219,0.5,3.6739130434782608,1.727810650887574
RestArmsCrossed-RestArmsCrossed-null,3,Dom,Lstn,-0.34608333333333335,2,3,0.011834319526627219,0.6666666666666666,4.898550724637681,2.5917159763313604
